Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7352,0.7243,0.5332,0.5490,0.6902,0.5959,0.8867,0.9570,0.1008,0.5417
sol_2,0.8027,0.7191,0.7002,0.7079,0.8070,0.4926,0.8576,0.8810,0.4635,0.7561
sol_3,0.8027,0.7191,0.7002,0.7079,0.8070,0.4926,0.8576,0.8810,0.4635,0.7561
sol_4,0.7352,0.7243,0.5332,0.5490,0.6902,0.5959,0.8867,0.9570,0.1008,0.5417
sol_5,0.7691,0.7199,0.6197,0.6473,0.7353,0.5329,0.8916,0.9336,0.3001,0.6255
sol_6,0.7691,0.7199,0.6197,0.6473,0.7353,0.5329,0.8916,0.9336,0.3001,0.6255
sol_7,0.7350,0.7409,0.5357,0.5536,0.6904,0.6507,0.8818,0.9559,0.1101,0.5411
sol_8,0.7350,0.7409,0.5357,0.5536,0.6904,0.6507,0.8818,0.9559,0.1101,0.5411
sol_9,0.7832,0.7155,0.6554,0.6752,0.7604,0.4962,0.8899,0.9176,0.3789,0.6697
sol_10,0.7832,0.7155,0.6554,0.6752,0.7604,0.4962,0.8899,0.9176,0.3789,0.6697
sol_11,0.7979,0.7246,0.6867,0.7009,0.7862,0.5087,0.8788,0.9013,0.4392,0.7197
sol_12,0.8025,0.7189,0.6990,0.7071,0.8064,0.4926,0.8578,0.8820,0.4600,0.7550
sol_13,0.7952,0.7179,0.6824,0.6957,0.7865,0.4953,0.8719,0.8979,0.4299,0.7193
sol_14,0.7979,0.7246,0.6870,0.7010,0.7861,0.5087,0.8790,0.9012,0.4403,0.7195
sol_15,0.7956,0.7201,0.6840,0.6976,0.7863,0.5020,0.8720,0.8976,0.4345,0.7197
sol_16,0.8025,0.7189,0.6990,0.7071,0.8064,0.4926,0.8578,0.8820,0.4600,0.7550
sol_17,0.7952,0.7179,0.6824,0.6957,0.7865,0.4953,0.8719,0.8979,0.4299,0.7193
sol_18,0.7956,0.7201,0.6840,0.6976,0.7863,0.5020,0.8720,0.8976,0.4345,0.7197
sol_19,0.7979,0.7246,0.6870,0.7010,0.7861,0.5087,0.8790,0.9012,0.4403,0.7195
sol_20,0.7952,0.7179,0.6824,0.6957,0.7865,0.4953,0.8719,0.8979,0.4299,0.7193
average,0.7654,0.7243,0.6059,0.6199,0.7399,0.5519,0.8810,0.9267,0.2574,0.6336
